star 1	err	star 2	err	star 3		2-1	3-1	3-2	HJD	Epoch	error 3-2	error 2-1	error 3-1	phase	new phase
-11.571	0.003	-8.407	0.018	-8.838	0.013	3.164	2.733	-0.431	2459522.589	59522.58873	0.01334166406	0.02220360331	0.01334166406	0.8747531891	0.990329692
-11.509	0.003	-8.394	0.018	-8.8	0.014	3.115	2.709	-0.406	2459522.589	59522.58892	0.01431782106	0.0228035085	0.01431782106	0.8753417381	0.9909182411
-11.568	0.003	-8.45	0.017	-8.85	0.013	3.118	2.718	-0.4	2459522.589	59522.58911	0.01334166406	0.02140093456	0.01334166406	0.8759256106	0.9915021135
-11.616	0.003	-8.475	0.017	-8.906	0.012	3.141	2.71	-0.431	2459522.589	59522.58931	0.01236931688	0.02080865205	0.01236931688	0.8765672274	0.9921437303
-11.624	0.003	-8.517	0.016	-8.903	0.012	3.107	2.721	-0.386	2459522.589	59522.5895	0.01236931688	0.02	0.01236931688	0.8771517851	0.9927282881
-11.544	0.003	-8.432	0.017	-8.832	0.013	3.112	2.712	-0.4	2459522.59	59522.5897	0.01334166406	0.02140093456	0.01334166406	0.8777663381	0.9933428411
-11.48	0.003	-8.363	0.018	-8.77	0.014	3.117	2.71	-0.407	2459522.59	59522.58988	0.01431782106	0.0228035085	0.01431782106	0.8783458766	0.9939223795
-11.545	0.003	-8.451	0.017	-8.835	0.013	3.094	2.71	-0.384	2459522.59	59522.59007	0.01334166406	0.02140093456	0.01334166406	0.8789275654	0.9945040683
-11.556	0.003	-8.453	0.017	-8.834	0.013	3.103	2.722	-0.381	2459522.59	59522.59026	0.01334166406	0.02140093456	0.01334166406	0.8795197312	0.9950962341
-11.615	0.003	-8.493	0.016	-8.901	0.012	3.122	2.714	-0.408	2459522.59	59522.59045	0.01236931688	0.02	0.01236931688	0.8801043209	0.9956808238
-11.607	0.003	-8.498	0.016	-8.9	0.013	3.109	2.707	-0.402	2459522.591	59522.59065	0.01334166406	0.02061552813	0.01334166406	0.8807285713	0.9963050742
-11.64	0.003	-8.548	0.016	-8.929	0.012	3.092	2.711	-0.381	2459522.591	59522.59083	0.01236931688	0.02	0.01236931688	0.8813106666	0.9968871695
-11.625	0.003	-8.501	0.016	-8.928	0.012	3.124	2.697	-0.427	2459522.591	59522.59102	0.01236931688	0.02	0.01236931688	0.8818981238	0.9974746267
-11.606	0.003	-8.45	0.017	-8.875	0.013	3.156	2.731	-0.425	2459522.591	59522.59121	0.01334166406	0.02140093456	0.01334166406	0.8824809044	0.9980574074
-11.481	0.003	-8.358	0.018	-8.791	0.013	3.123	2.69	-0.433	2459522.591	59522.59139	0.01334166406	0.02220360331	0.01334166406	0.8830622825	0.9986387854
-11.589	0.003	-8.517	0.016	-8.859	0.013	3.072	2.73	-0.342	2459522.592	59522.59158	0.01334166406	0.02061552813	0.01334166406	0.8836475575	0.9992240604
-11.501	0.003	-8.378	0.018	-8.804	0.013	3.123	2.697	-0.426	2459522.592	59522.59177	0.01334166406	0.02220360331	0.01334166406	0.8842310873	0.9998075902
-11.619	0.003	-8.486	0.017	-8.885	0.012	3.133	2.734	-0.399	2459522.592	59522.59196	0.01236931688	0.02080865205	0.01236931688	0.8848109684	0.000387471333
-11.481	0.003	-8.374	0.018	-8.771	0.014	3.107	2.71	-0.397	2459522.592	59522.59214	0.01431782106	0.0228035085	0.01431782106	0.8854013251	0.0009778280639
-11.629	0.003	-8.513	0.016	-8.923	0.012	3.116	2.706	-0.41	2459522.592	59522.59233	0.01236931688	0.02	0.01236931688	0.8859870372	0.001563540101
-11.635	0.003	-8.54	0.016	-8.911	0.012	3.095	2.724	-0.371	2459522.593	59522.59252	0.01236931688	0.02	0.01236931688	0.8865687274	0.002145230318
-11.638	0.003	-8.534	0.016	-8.952	0.012	3.104	2.686	-0.418	2459522.593	59522.59271	0.01236931688	0.02	0.01236931688	0.887155842	0.00273234491
-11.611	0.003	-8.512	0.016	-8.917	0.012	3.099	2.694	-0.405	2459522.593	59522.59289	0.01236931688	0.02	0.01236931688	0.8877378749	0.00331437778
-11.61	0.003	-8.511	0.016	-8.924	0.012	3.099	2.686	-0.413	2459522.593	59522.59309	0.01236931688	0.02	0.01236931688	0.8883408589	0.003917361864
-11.633	0.003	-8.534	0.016	-8.924	0.012	3.099	2.709	-0.39	2459522.593	59522.5933	0.01236931688	0.02	0.01236931688	0.8889929223	0.004569425221
-11.631	0.003	-8.564	0.016	-8.941	0.012	3.067	2.69	-0.377	2459522.593	59522.5935	0.01236931688	0.02	0.01236931688	0.8896251539	0.005201656795
-11.579	0.003	-8.486	0.017	-8.88	0.013	3.093	2.699	-0.394	2459522.594	59522.59369	0.01334166406	0.02140093456	0.01334166406	0.8902065	0.005783002907
-11.532	0.003	-8.419	0.017	-8.831	0.013	3.113	2.701	-0.412	2459522.594	59522.59388	0.01334166406	0.02140093456	0.01334166406	0.8908177789	0.006394281814
-11.609	0.003	-8.498	0.016	-8.939	0.012	3.111	2.67	-0.441	2459522.594	59522.59407	0.01236931688	0.02	0.01236931688	0.8913994996	0.006976002521
-11.586	0.003	-8.473	0.017	-8.901	0.012	3.113	2.685	-0.428	2459522.594	59522.59426	0.01236931688	0.02080865205	0.01236931688	0.8919826243	0.007559127235
-11.489	0.003	-8.41	0.018	-8.798	0.013	3.079	2.691	-0.388	2459522.594	59522.59444	0.01334166406	0.02220360331	0.01334166406	0.8925650623	0.008141565191
-11.637	0.003	-8.572	0.016	-8.951	0.012	3.065	2.686	-0.379	2459522.595	59522.59463	0.01236931688	0.02	0.01236931688	0.8931482175	0.008724720396
