star 1	err	star 2	err	star 3	err	HJD	2-1	3-1	3-2	Epoch	error 3-2	error 2-1	error 3-1	phase
-13.297	0.003	-10.133	0.016	-11.579	0.006	2459522.584	3.164	1.718	-1.446	59522.58371	0.01708800749	0.0162788206	0.006708203932	0.9746898006
-13.259	0.003	-10.094	0.016	-11.549	0.006	2459522.584	3.165	1.71	-1.455	59522.5839	0.01708800749	0.0162788206	0.006708203932	0.975273673
-13.248	0.003	-10.071	0.017	-11.523	0.007	2459522.584	3.177	1.725	-1.452	59522.58409	0.01838477631	0.0172626765	0.007615773106	0.9758708901
-13.292	0.003	-10.128	0.016	-11.579	0.006	2459522.584	3.164	1.713	-1.451	59522.58432	0.01708800749	0.0162788206	0.006708203932	0.9765799486
-13.2	0.003	-10.059	0.017	-11.48	0.007	2459522.585	3.141	1.72	-1.421	59522.58451	0.01838477631	0.0172626765	0.007615773106	0.9771612947
-13.253	0.003	-10.09	0.016	-11.537	0.006	2459522.585	3.163	1.716	-1.447	59522.58469	0.01708800749	0.0162788206	0.006708203932	0.9777426422
-13.272	0.003	-10.133	0.016	-11.561	0.006	2459522.585	3.139	1.711	-1.428	59522.58488	0.01708800749	0.0162788206	0.006708203932	0.9783225234
-13.275	0.003	-10.156	0.016	-11.578	0.006	2459522.585	3.119	1.697	-1.422	59522.58507	0.01708800749	0.0162788206	0.006708203932	0.9789060517
-13.255	0.003	-10.11	0.016	-11.548	0.006	2459522.585	3.145	1.707	-1.438	59522.58525	0.01708800749	0.0162788206	0.006708203932	0.9794917333
-13.266	0.003	-10.123	0.016	-11.555	0.006	2459522.585	3.143	1.711	-1.432	59522.58544	0.01708800749	0.0162788206	0.006708203932	0.9800763215
-13.279	0.003	-10.099	0.016	-11.572	0.006	2459522.586	3.18	1.707	-1.473	59522.58563	0.01708800749	0.0162788206	0.006708203932	0.9806562026
-13.281	0.003	-10.146	0.016	-11.581	0.006	2459522.586	3.135	1.7	-1.435	59522.58581	0.01708800749	0.0162788206	0.006708203932	0.9812422573
-13.277	0.003	-10.129	0.016	-11.58	0.006	2459522.586	3.148	1.697	-1.451	59522.586	0.01708800749	0.0162788206	0.006708203932	0.9818250074
-13.267	0.003	-10.146	0.016	-11.567	0.006	2459522.586	3.121	1.7	-1.421	59522.58619	0.01708800749	0.0162788206	0.006708203932	0.9824110621
-13.253	0.003	-10.118	0.016	-11.558	0.006	2459522.586	3.135	1.695	-1.44	59522.58638	0.01708800749	0.0162788206	0.006708203932	0.9829938427
-13.246	0.003	-10.073	0.017	-11.533	0.007	2459522.587	3.173	1.713	-1.46	59522.58656	0.01838477631	0.0172626765	0.007615773106	0.9835769979
-13.279	0.003	-10.138	0.016	-11.564	0.006	2459522.587	3.141	1.715	-1.426	59522.58675	0.01708800749	0.0162788206	0.006708203932	0.9841619303
-13.291	0.003	-10.11	0.016	-11.591	0.006	2459522.587	3.181	1.7	-1.481	59522.58694	0.01708800749	0.0162788206	0.006708203932	0.9847475799
-13.261	0.003	-10.127	0.016	-11.574	0.006	2459522.587	3.134	1.687	-1.447	59522.58712	0.01708800749	0.0162788206	0.006708203932	0.9853264011
-13.28	0.003	-10.126	0.016	-11.555	0.006	2459522.587	3.154	1.725	-1.429	59522.58731	0.01708800749	0.0162788206	0.006708203932	0.9859080899
-13.28	0.003	-10.142	0.016	-11.579	0.006	2459522.587	3.138	1.701	-1.437	59522.5875	0.01708800749	0.0162788206	0.006708203932	0.9864894375
-13.192	0.003	-10.007	0.017	-11.486	0.007	2459522.588	3.185	1.706	-1.479	59522.58769	0.01838477631	0.0172626765	0.007615773106	0.9870794515
